,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19,Factor_20,Factor_21,Factor_22,Factor_23,Factor_24,Factor_25,Factor_26,Factor_27,Factor_28,Factor_29,Factor_30,Factor_31,Factor_32,Factor_33,Factor_34,Factor_35,Factor_36,Factor_37,Factor_38,Factor_39,Factor_40
marketing_channel_billboards,-0.1490726867558324,-0.06777879013206364,0.2604501731740289,0.0049274033238714135,-0.13370817945693766,0.1509188968274846,-0.06647065945720322,-0.08074955083781195,0.21458364923357118,0.013172119106905288,-0.011256303174261706,0.024880802175473074,0.10345166028396355,0.040961371269620246,-0.1632016364427751,0.020918628583116713,-0.38052318173619526,-0.46966489046555454,0.26378114578851347,-0.09241049578487091,-0.24267436304324985,-0.061096176185138136,-0.07946709902462538,0.11271661780814332,-0.17659906585752672,-0.002675027569163408,0.2260869852545181,-0.0260623437242285,-0.10847108777091938,-0.13569748828467593,-0.12171131738447515,-0.14065942688472996,-0.01758266158272129,-0.1347879303561808,0.02303189898933665,0.15569560091479026,0.20494123908437842,-0.13773083858202687,-0.030261393610955617,-0.03391459700787838
marketing_channel_online_ads,-0.17417134381159569,-0.0016174158059875194,0.173523281020708,-0.0068577219417047565,0.10026884446167572,-0.034311693232431585,-0.05781716261527777,0.07512500871934996,0.28225672996109974,-0.07004448701070856,-0.28594554676157796,0.2600068598566722,-0.1049263580789404,-0.013593771187480848,-0.08479945861398763,-0.33450040730348074,-0.08715497371444272,0.15226046422992628,-0.3034730209092095,-0.2579697288516384,0.21964041380466132,-0.1145076158732774,-0.06700326151816878,0.20811664943736866,-0.03911044421150937,-0.04748950996421913,-0.15388565294623005,-0.12512080720787694,-0.15393685622706524,-0.08246057800953205,0.2741089002584749,0.07727260027907534,0.007503669681169915,0.08697214119720569,-0.019901968518304024,-0.09929753181740192,0.2624528430461429,-0.17638153415330696,-0.038753492577761686,-0.04343187562078385
marketing_channel_other,-0.048777804834933824,0.2355700347667591,-0.14645755993747803,-0.17714726529319774,0.24853051442739957,-0.11182179046627444,-0.10997799487678418,-0.30744397464963263,0.043479759255510536,-0.05974113556668992,0.17460226436436982,0.029082998369102615,-0.05894302851733536,0.33046798797125143,0.09627201160495058,-0.02529470982155945,0.04613479585246867,-0.02783106562495273,0.17563619647463696,0.10405469416311401,0.020320304243054144,-0.22814335195022165,0.10588886637851393,0.0137512050826889,0.17240424267885524,-0.11908951675740469,0.059491840133889876,-0.3019154833534379,-0.16064135122838857,0.18539170376778707,0.0827570810325751,-0.13606596638190663,0.42695492528893,-0.05757153304182268,0.07460866969750952,0.01637823066954603,0.143296123271101,-0.096302214780483,-0.021158944918086772,-0.023713286282658598
motivation_price_discounts,-0.05402642458809402,-0.17784541543871643,0.059825058354949515,-0.21179165592775342,0.25095149686572576,0.06721685650798354,0.16947989580338674,0.05869267049651573,0.1358862790808629,0.3039704792788771,0.11307175506712476,-0.22625535186090273,0.03409727893236402,0.10875494213663967,0.13473865036415109,0.028623831183113974,0.29386610902244986,-0.1975710067277468,-0.16652113858855908,-0.22898401114176395,0.2007451416909771,0.1799456192828546,0.19029794845352288,0.13601781789341097,-0.19723405331433,0.15962947057226481,0.019051842543481905,-0.058566610262550216,-0.1824448611187344,-0.09729904154394702,-0.2929442230822234,0.17194918815992077,0.16911679866673845,-0.0039960017768869965,-0.12193358254552535,0.08835447827640235,1.2444070551855271e-16,-6.669700081638011e-18,1.6883410622058484e-17,9.578659538932322e-17
motivation_new_flavors,-0.172001244141378,0.1305020004697196,0.12623810292065452,0.1602472543722236,-0.1256839513702902,0.04232005510109624,0.020032217088060526,-0.14059076784038488,-0.29959258581502907,0.007946613736626877,0.054441170606194085,-0.07386792058918026,-0.214721282047608,-0.001040093157396093,-0.024233078908284442,-0.19650768828279083,-0.05595406655401751,0.46201454703043404,0.16604903901840873,-0.14697206030481513,-0.03904924808097565,0.028888811818981067,0.17740367876334476,0.11655337395302971,0.11316755721843776,0.07704352546359136,0.15113753933395208,0.02855044594937682,-0.12851694720334503,-0.45318262507414575,-0.25964434703642236,-0.08647450379235908,0.12373815020541613,0.06289906471811696,-0.08267553035337549,0.10955572207672688,-1.4028625396880523e-16,-5.722394040101867e-16,2.2359938434997477e-17,-1.8432911507143938e-16
motivation_availability,-0.1894761646789908,0.14100079285387432,0.19415338061469134,0.055293447083124926,-0.11266249159923047,0.005042770186192562,0.018129978126331367,-0.05637271024518645,0.04079383574174137,-0.15304819604863615,-0.198869357743534,0.07519310550704335,-0.04686431717077501,0.12146368894483028,0.06890201850484881,-0.05991722728105875,0.2646375966263659,-0.12319308959208528,-0.20864253286201437,0.30268790441601495,-0.0009838156412847426,-0.3287879613012045,0.23657408145687453,-0.1581125363243744,-0.11679006077490774,0.38341521367863207,0.2404156295688751,-0.10522690583537989,0.31625241381396213,-0.07044124597829753,-0.06715165520070271,0.14474669230612341,-0.06605931438129439,0.012763907288135005,0.10155363080654264,0.08621541536128083,-8.903287399774929e-16,6.88633730452109e-17,1.6994357362823215e-16,-2.7264584362616887e-16
motivation_attractive_packaging,-0.15080418401189732,-0.006883113880230721,0.038730823653438815,0.023609571682404462,0.16236410289796377,-0.023100800966984095,-0.3539639644172242,0.0005493075892157945,-0.05514708364401834,-0.10349402322442104,0.08877790866532839,0.3827486481605669,-0.010729765362930698,-0.14400748619241957,0.34966854865372554,-0.15309685111852772,-0.15831555992930332,-0.015446711073182446,-0.08283277165201229,0.06661248804327366,-0.10943300984551306,0.14353757090930017,-0.006319872011143806,-0.24356237250234525,-0.21952710432905453,-0.03390661008087524,-0.16311612583777124,0.2752255923203936,0.029075210012967256,0.08563073759763305,-0.2927836201092914,0.13057276641661028,0.2695923425000611,-0.08780969659870076,-0.11716232044840777,0.05449256453336381,-1.2932303231059074e-16,-3.97672458572743e-17,1.508079360714487e-17,1.5617772496542841e-16
motivation_brand_reputation,-0.2149792129892787,-0.0707257111715226,0.12345195095013758,0.010293252570609047,0.09517035084767508,-0.028345256923289517,-0.3449262252193088,0.194154138577372,0.13467605383757947,0.07149905433487308,0.1810735132339829,-0.1656093324347434,0.010810465808898497,-0.004173738924901947,-0.13037233269110016,0.1831363686231954,0.053219017956030686,0.2137748677484891,-0.030317143255789273,-0.13765349329050722,0.06123048318642322,0.004117329097512009,0.1418685812141652,-0.10495570658530591,0.1212534712850207,-0.0018503510553067911,0.19856514121558097,0.2486745350392773,0.025861326670314683,-0.022569713188201376,0.22858292550937603,0.10239894610829056,0.028823805248156906,-0.45648025825890415,0.3746506902506279,0.002753081301098878,-1.1693767154746553e-15,1.0821522645139984e-15,2.522271634475637e-16,5.929829487294061e-16
motivation_word_of_mouth,-0.14969703827821007,0.18247451642154275,-0.10655806740427902,0.11765636536354213,0.08112606947250971,0.2995608602801031,0.11040341639582442,0.06793010893480061,-0.03494037703553933,0.18815212245622448,0.010441880152242577,0.1783260987428862,-0.0031296451533634503,0.08518994042645402,0.4802788652877742,-0.0641091141922682,0.09915088522474605,0.007771834883052516,-0.09451963076496112,-0.07752928064935316,-0.047301241317919795,0.09058209855596473,-0.045276788506779166,0.11084723699017747,-0.0540224616216116,0.01271726648552133,0.14568441838905064,0.06345504623735974,-0.09567340371091881,0.09861607116802551,0.06640955433942171,-0.4701528126698425,-0.30107486452639964,-0.029233785295718843,0.2855081172214309,-0.010205701062795246,1.441386292068341e-16,7.937117348832899e-16,1.897703448308639e-16,-7.220348504962245e-17
motivation_advertisement,-0.19460357885430593,-0.06386033541217113,0.1021615091734225,0.01893110453628005,0.014108771941856061,0.08018132977997729,-0.3205131437775033,-0.045381138475902014,0.07528488187241084,0.01987614732856296,0.3489839848117968,-0.14017905167234146,0.11361205580201533,-0.1286734681735242,0.18862956056980226,-0.05528017319754756,-0.024775076349751086,-0.1531072828575868,0.11302431491176707,0.28906589189610166,0.15296616837242044,0.16870678014788565,0.1546439494325121,0.062280509967012065,0.11335965400787162,0.08028828344535618,-0.14123381496629853,-0.09991061202222573,0.04928482144677751,-0.25994785723567837,0.36539592818788835,-0.040782033839179346,-0.1484339256801726,0.34283148954717974,-0.1588686502207271,-0.03132932265601593,8.758325878056289e-17,-4.927793242109367e-16,-1.384166132947496e-16,-2.8470392410261565e-16
motivation_other,-0.02929627291945259,0.20285716941171067,-0.3098853777284576,-0.17375007217204388,0.03542841963668155,0.03669393988931313,-0.2796916360709026,-0.1886728911038951,-0.0462628299511185,0.1891136175722164,-0.1621175593534752,-0.005536339861072505,0.22009849173551574,0.03916656514496529,0.09756050633866038,-0.08242134019820858,0.013136065479961975,0.014509794341401365,0.11109366476674438,-0.09580744290916934,-0.217746212638678,-0.11944537436421335,0.009676253419623748,0.27422939048204753,0.07573980519952031,-0.06786178388673748,-0.042555227027513486,0.001958948857989768,0.021666611820886573,-0.09069435342363247,-0.10807459612931211,0.5109563961759542,-0.35570277438003983,-0.027197758765829427,0.07090844590892373,-0.007770238451597486,-3.4655440258469213e-16,-6.089487878416934e-16,-1.6447469610248514e-16,2.1572866789190376e-16
num_types_preferred,-0.29810834619406357,-0.046698690968503785,-0.27104753435153434,-0.21847457201122697,-0.06406957878515511,0.030831915752620186,0.08294576307135233,0.07993247164775485,-0.030928282759834724,-0.004674715409258074,0.0881835114281397,-0.025457010756153295,-0.05888636258296163,-0.08448277484355743,-0.14743890799739354,-0.09553478162349463,0.03354255034817158,-0.05575491366287942,-0.05523510455358317,0.05204480138010117,-0.041695612096134434,-0.11510582097409994,-0.08059450844113639,-0.012167343168406144,-0.021718718427728902,-0.0036626530086522223,-0.052858791040364214,0.10287393861361258,0.03190533898502292,-0.06733074244000584,-0.017661346665291584,-0.08637542173359458,0.05426334664764514,0.026075051211459328,0.02276862756957658,-0.01826739531967442,0.2886920889742702,0.5612448833151504,0.12454982545207458,-0.2072904819765575
num_purchase_factors,-0.3321447480368752,-0.0993734425620756,-0.06735715380623639,0.10292880455587938,0.07705669564529531,-0.01679148128609352,0.06974126102805778,-0.02367395004317092,-0.09716641027922912,-0.10795355967102427,-0.18026825228183163,-0.05184200579824075,0.014121156930328746,0.14850180669497443,0.02589875276877407,0.18710454405128943,-0.12127055035081431,0.029142368521858895,0.08817918149905064,-0.01846253273721904,0.06259336120865884,0.1386228933836376,0.002138961766384109,-0.013716557219698515,0.006224993702950146,0.05286465848661338,-0.028740242846869643,-0.05251548847046723,-0.008370919747931176,0.12230652272156887,0.014739387660067946,0.07860791506177427,-0.03599119402665913,0.032844193823257664,-0.04259398785698594,-0.011015743889890432,-0.12109218533983933,0.027876204151898697,0.08432179916338003,-0.7748143379970314
