category,count
 Crunchy Bar Etc.),55.1
 Strawberry,52.5
Regular Cups (Chocolate,52.5
 Mango),52.5
 Vanilla,52.5
 Ice Cream Sticks (Chocbar,44.9
 Cone,36.4
 Box Or Tubs,36.4
 Scoops (From Ice Cream Parlor),29.7
 Lolly,22.9
Cone,19.5
 Premium Cups (Exclusive Flavors),14.4
Ice Cream Sticks (Chocbar,10.2
Premium Cups (Exclusive Flavors),10.2
Box Or Tubs,4.2
Lolly,1.7
Scoops (From Ice Cream Parlor),1.7
