category,count
Taste,83.9
 Flavors,64.4
 Price,50.8
 Brand Reputation,28.8
 Availability,28.0
 Packaging,18.6
 Health/Nutritional Value.,11.0
Price,7.6
Flavors,4.2
Availability,1.7
Health/Nutritional Value.,1.7
  I Love All,0.8
Brand Reputation,0.8
