category,count
Taste,99
 Flavors,76
 Price,60
 Brand Reputation,34
 Availability,33
 Packaging,22
 Health/Nutritional Value.,13
Price,9
Flavors,5
Availability,2
Health/Nutritional Value.,2
  I Love All,1
Brand Reputation,1
